"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\test\java\com\turnix\turnix_backend\TurnixBackendApplicationTests.java", "Java", 9, 0, 5, 14
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\test\java\com\turnix\turnix_backend\controller\UsuarioControllerTest.java", "Java", 43, 0, 11, 54
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\test\java\com\turnix\turnix_backend\service\UsuarioServiceTest.java", "Java", 21, 0, 7, 28
"Total", "-", 73, 0, 23, 96
