"filename", "language", "Java", "Java Properties", "comment", "blank", "total"
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\CitaRepository.java", "Java", 7, 0, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\DisponibilidadSemanalRepository.java", "Java", 7, 0, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\ExcepcionHorarioRepository.java", "Java", 7, 0, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\GaleriaNegocioRepository.java", "Java", 7, 0, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\NegocioRepository.java", "Java", 7, 0, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\ProfesionalRepository.java", "Java", 7, 0, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\ProfesionalServicioRepository.java", "Java", 8, 0, 0, 2, 10
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\PromocionRepository.java", "Java", 7, 0, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\ResenaRepository.java", "Java", 7, 0, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\ServicioRepository.java", "Java", 7, 0, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\UsuarioRepository.java", "Java", 9, 0, 0, 3, 12
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\security\SecurityConfig.java", "Java", 20, 0, 0, 4, 24
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\CitaService.java", "Java", 24, 0, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\DisponibilidadSemanalService.java", "Java", 24, 0, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\ExcepcionHorarioService.java", "Java", 24, 0, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\GaleriaNegocioService.java", "Java", 24, 0, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\NegocioService.java", "Java", 24, 0, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\ProfesionalService.java", "Java", 24, 0, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\PromocionService.java", "Java", 24, 0, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\ResenaService.java", "Java", 24, 0, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\ServicioService.java", "Java", 24, 0, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\UsuarioService.java", "Java", 40, 0, 1, 11, 52
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\resources\application.properties", "Java Properties", 0, 5, 1, 2, 8
"Total", "-", 1050, 5, 2, 306, 1363
